time,open,high,low,close,tick_volume,spread,real_volume
2024-07-08 10:37:00+00:00,104.61,104.625,104.61,104.625,16.0,22,0.0
2024-07-08 10:38:00+00:00,104.635,104.65,104.63,104.65,9.0,22,0.0
2024-07-08 10:39:00+00:00,104.65,104.66,104.65,104.66,13.0,22,0.0
2024-07-08 10:40:00+00:00,104.66,104.66,104.66,104.66,9.0,22,0.0
2024-07-08 10:41:00+00:00,104.665,104.67,104.665,104.67,25.0,22,0.0
2024-07-08 10:42:00+00:00,104.67,104.675,104.67,104.67,22.0,22,0.0
2024-07-08 10:43:00+00:00,104.66,104.66,104.64,104.64,4.0,22,0.0
2024-07-08 10:44:00+00:00,104.64,104.64,104.64,104.64,10.0,22,0.0
2024-07-08 10:45:00+00:00,104.635,104.64,104.635,104.64,13.0,22,0.0
2024-07-08 10:46:00+00:00,104.64,104.64,104.64,104.64,2.0,22,0.0
2024-07-08 10:47:00+00:00,104.64,104.64,104.635,104.635,2.0,22,0.0
2024-07-08 10:49:00+00:00,104.63,104.63,104.625,104.625,5.0,22,0.0
2024-07-08 10:52:00+00:00,104.635,104.635,104.635,104.635,4.0,22,0.0
2024-07-08 10:53:00+00:00,104.63,104.63,104.63,104.63,3.0,22,0.0
2024-07-08 10:54:00+00:00,104.625,104.625,104.625,104.625,1.0,22,0.0
2024-07-08 10:56:00+00:00,104.635,104.635,104.635,104.635,6.0,22,0.0
2024-07-08 10:57:00+00:00,104.64,104.64,104.635,104.635,7.0,22,0.0
2024-07-08 10:59:00+00:00,104.63,104.63,104.63,104.63,2.0,22,0.0
2024-07-08 11:00:00+00:00,104.635,104.635,104.63,104.63,5.0,22,0.0
2024-07-08 11:01:00+00:00,104.64,104.64,104.64,104.64,21.0,22,0.0
2024-07-08 11:02:00+00:00,104.635,104.635,104.635,104.635,3.0,22,0.0
2024-07-08 11:03:00+00:00,104.645,104.645,104.645,104.645,24.0,22,0.0
2024-07-08 11:04:00+00:00,104.645,104.645,104.645,104.645,11.0,22,0.0
2024-07-08 11:05:00+00:00,104.64,104.64,104.635,104.635,5.0,22,0.0
2024-07-08 11:06:00+00:00,104.625,104.625,104.625,104.625,1.0,22,0.0
2024-07-08 11:07:00+00:00,104.62,104.62,104.62,104.62,1.0,22,0.0
2024-07-08 11:08:00+00:00,104.625,104.625,104.625,104.625,9.0,22,0.0
2024-07-08 11:09:00+00:00,104.625,104.625,104.625,104.625,3.0,22,0.0
2024-07-08 11:10:00+00:00,104.625,104.625,104.625,104.625,2.0,22,0.0
2024-07-08 11:11:00+00:00,104.63,104.63,104.63,104.63,4.0,22,0.0
2024-07-08 11:12:00+00:00,104.63,104.63,104.63,104.63,3.0,22,0.0
2024-07-08 11:14:00+00:00,104.63,104.63,104.63,104.63,2.0,22,0.0
2024-07-08 11:15:00+00:00,104.625,104.625,104.625,104.625,3.0,22,0.0
2024-07-08 11:16:00+00:00,104.62,104.62,104.62,104.62,1.0,22,0.0
2024-07-08 11:18:00+00:00,104.62,104.62,104.62,104.62,3.0,22,0.0
2024-07-08 11:19:00+00:00,104.61,104.61,104.61,104.61,6.0,22,0.0
2024-07-08 11:20:00+00:00,104.615,104.62,104.615,104.62,3.0,22,0.0
2024-07-08 11:21:00+00:00,104.625,104.625,104.625,104.625,2.0,22,0.0
2024-07-08 11:24:00+00:00,104.615,104.615,104.615,104.615,1.0,22,0.0
2024-07-08 11:27:00+00:00,104.62,104.625,104.62,104.625,3.0,22,0.0
2024-07-08 11:28:00+00:00,104.625,104.625,104.625,104.625,8.0,22,0.0
2024-07-08 11:29:00+00:00,104.63,104.63,104.63,104.63,29.0,22,0.0
2024-07-08 11:31:00+00:00,104.63,104.63,104.63,104.63,1.0,22,0.0
2024-07-08 11:33:00+00:00,104.62,104.62,104.62,104.62,2.0,22,0.0
2024-07-08 11:35:00+00:00,104.615,104.62,104.615,104.62,3.0,22,0.0
2024-07-08 11:36:00+00:00,104.62,104.62,104.62,104.62,1.0,22,0.0
2024-07-08 11:37:00+00:00,104.615,104.615,104.615,104.615,1.0,22,0.0
2024-07-08 11:41:00+00:00,104.61,104.61,104.61,104.61,2.0,22,0.0
2024-07-08 11:43:00+00:00,104.62,104.62,104.62,104.62,1.0,22,0.0
2024-07-08 11:45:00+00:00,104.615,104.615,104.615,104.615,1.0,22,0.0
2024-07-08 11:47:00+00:00,104.62,104.62,104.62,104.62,2.0,22,0.0
2024-07-08 11:49:00+00:00,104.62,104.62,104.62,104.62,1.0,22,0.0
2024-07-08 11:50:00+00:00,104.625,104.625,104.625,104.625,5.0,22,0.0
2024-07-08 11:51:00+00:00,104.625,104.625,104.625,104.625,1.0,22,0.0
2024-07-08 11:53:00+00:00,104.62,104.62,104.62,104.62,6.0,22,0.0
2024-07-08 11:55:00+00:00,104.63,104.64,104.63,104.635,3.0,22,0.0
2024-07-08 11:56:00+00:00,104.63,104.63,104.63,104.63,6.0,22,0.0
2024-07-08 11:57:00+00:00,104.625,104.625,104.61,104.61,8.0,22,0.0
2024-07-08 11:58:00+00:00,104.61,104.61,104.61,104.61,2.0,22,0.0
2024-07-08 11:59:00+00:00,104.605,104.605,104.605,104.605,1.0,22,0.0
2024-07-08 12:00:00+00:00,104.59,104.595,104.575,104.575,29.0,22,0.0
2024-07-08 12:01:00+00:00,104.595,104.595,104.595,104.595,11.0,22,0.0
2024-07-08 12:03:00+00:00,104.595,104.595,104.595,104.595,2.0,22,0.0
2024-07-08 12:04:00+00:00,104.595,104.595,104.595,104.595,1.0,22,0.0
2024-07-08 12:05:00+00:00,104.595,104.595,104.595,104.595,1.0,22,0.0
2024-07-08 12:06:00+00:00,104.6,104.6,104.59,104.59,12.0,22,0.0
2024-07-08 12:07:00+00:00,104.59,104.59,104.585,104.585,4.0,22,0.0
2024-07-08 12:08:00+00:00,104.57,104.57,104.565,104.565,20.0,22,0.0
2024-07-08 12:09:00+00:00,104.575,104.575,104.575,104.575,2.0,22,0.0
2024-07-08 12:10:00+00:00,104.57,104.57,104.565,104.565,2.0,22,0.0
2024-07-08 12:11:00+00:00,104.57,104.57,104.57,104.57,7.0,22,0.0
2024-07-08 12:14:00+00:00,104.575,104.575,104.57,104.57,3.0,22,0.0
2024-07-08 12:15:00+00:00,104.56,104.56,104.555,104.555,8.0,22,0.0
2024-07-08 12:16:00+00:00,104.555,104.555,104.55,104.55,13.0,22,0.0
2024-07-08 12:17:00+00:00,104.54,104.54,104.535,104.54,4.0,22,0.0
2024-07-08 12:18:00+00:00,104.555,104.555,104.55,104.55,4.0,22,0.0
2024-07-08 12:19:00+00:00,104.545,104.555,104.545,104.555,2.0,22,0.0
2024-07-08 12:20:00+00:00,104.55,104.555,104.545,104.55,27.0,22,0.0
2024-07-08 12:21:00+00:00,104.545,104.545,104.54,104.54,4.0,22,0.0
2024-07-08 12:22:00+00:00,104.54,104.545,104.54,104.54,17.0,22,0.0
2024-07-08 12:23:00+00:00,104.54,104.54,104.535,104.535,68.0,22,0.0
2024-07-08 12:24:00+00:00,104.53,104.54,104.53,104.535,17.0,22,0.0
2024-07-08 12:25:00+00:00,104.535,104.54,104.535,104.535,117.0,22,0.0
2024-07-08 12:26:00+00:00,104.535,104.54,104.525,104.525,143.0,22,0.0
2024-07-08 12:27:00+00:00,104.52,104.525,104.52,104.52,77.0,22,0.0
2024-07-08 12:28:00+00:00,104.52,104.525,104.52,104.525,19.0,22,0.0
2024-07-08 12:29:00+00:00,104.525,104.525,104.525,104.525,1.0,22,0.0
2024-07-08 12:30:00+00:00,104.525,104.525,104.515,104.515,35.0,22,0.0
2024-07-08 12:31:00+00:00,104.52,104.52,104.515,104.52,18.0,22,0.0
2024-07-08 12:32:00+00:00,104.52,104.52,104.515,104.515,4.0,22,0.0
2024-07-08 12:33:00+00:00,104.51,104.515,104.51,104.515,15.0,22,0.0
2024-07-08 12:34:00+00:00,104.51,104.515,104.505,104.515,40.0,22,0.0
2024-07-08 12:35:00+00:00,104.51,104.51,104.505,104.505,11.0,22,0.0
2024-07-08 12:36:00+00:00,104.51,104.52,104.51,104.52,17.0,22,0.0
2024-07-08 12:37:00+00:00,104.525,104.525,104.525,104.525,2.0,22,0.0
2024-07-08 12:38:00+00:00,104.525,104.525,104.525,104.525,2.0,22,0.0
